hak,rom,zh,en,unproofread
鐘頭,zung1 teu2,鐘頭,Hour,
睡目,soi4 muk5,睡覺,Sleep,
點,diam3,點,O'clock / Point,
十一點鐘,sip6 yit5 diam3 zung1,十一點鐘,Eleven o'clock,
張,zong1,張,Classifier for flat objects,
禮拜,li3 bai4,禮拜,Week,
感情,gam3 ciang2,感情,Relationship / Feelings,
孝順,hau4 sun4,孝順,Filial piety,
全家福,cien2 ga1 fuk5,全家福,Family portrait,
最,zui4,最,Most,
中間,zung1 gan1,中間,Middle,
外國人,ngoi4 get5 ngin2,外國人,Foreigner,
女朋友,ngi3 pun2 yiu1,女朋友,Girlfriend,
舅仔,kiu1 zai3,小舅,Younger uncle (Maternal),
背景,boi4 giang3,背景,Background,
外國,ngoi4 get5,外國,Foreign country,
公,gung1,爺爺/外公,Grandpa,
婆,po2,奶奶/外婆,Grandma,
蘇格蘭,su1 gak5 lan2,蘇格蘭,Scotland,
屋,vuk5,屋/房子,House,
大,tai4,大,Big,
房,fong2,房間,Room,
花園仔,fa1 yen2 zai3,小花園,Small garden,
添,tiem1,添,Also / In addition,
繡球,siu4 kiu2,繡球花,Hydrangea,
玫瑰花,moi2 gui4 fa1,玫瑰花,Rose,
應該,yin1 goi1,應該,Should,
花園,fa1 yen2,花園,Garden,
棵,ko1,棵,Classifier for trees,
蘋果樹,pin2 go3 su4,蘋果樹,Apple tree,
樹,su4,樹,Tree,
蘋果,pin2 go3,蘋果,Apple,
休息,hiu1 sit5,休息,Rest,
看書,kon4 su1,看書,Read a book,
舒服,su1 fuk6,舒服,Comfortable,
打中,da3 zung4,打中,Hit,
科學家,fo1 hok6 ga1,科學家,Scientist,
表妹,biau3 moi4,表妹,Cousin (younger female),
阿蘭,a1 lan2,阿蘭,Alan (name),
大樹,tai4 su4,大樹,Big tree,
菜園,coi4 yen2,菜園,Vegetable garden,
青菜,ciang1 coi4,青菜,Green vegetables,
白貓,pak6 miau1,白貓,White cat,
想,siong3,想,Want / Think,
德文,det5 vun2,德文,German (language),
月光光,ngiet6 gong1 gong1,月光光,Bright moon,
秀才郎,siu4 coi2 long2,秀才郎,Scholar,
騎,ki2,騎,Ride,
白馬,pak6 ma1,白馬,White horse,
過,go4,過,Cross / Pass,
蓮塘,lien2 tong2,蓮塘,Lotus pond,
背,boi4,後面,Behind,
種,zung4,種,Plant,
韭菜,giu3 coi4,韭菜,Chives,
韭菜花,giu3 coi4 fa1,韭菜花,Chive flowers,
結,giet5,結,Tie,
親家,cin1 ga1,親家,Marital alliance,
門前,mun2 cien2,門前,In front of the door,
一口,yit5 heu3,一口,A (classifier for pond),
塘,tong2,池塘,Pond,
放,fong4,放,Place / Release,
條,tiau2,條,Classifier for long objects,
鯉嫲,li3 ma2,母鯉魚,Female carp,
八尺,bat5 cak5,八尺,Eight feet,
長,cong2,長,Long,
長,zong3,長,Grow,
落大水,lok6 tai4 sui3,下大雨,Rain heavily,
發大風,bot5 tai4 fung1,颳大風,Blow strong wind,
嫁,ga4,嫁,Marry (for women),
老公,lau3 gung1,老公,Husband,
海豐,hoi3 fung1,海豐,Haifeng (place),
食,sit6,吃,Eat,
老蟹,lau4 hai1,螃蟹,Crab,
蝦公,ha1 gung1,公蝦/蝦子,Male shrimp / Shrimp,
蛇過正來打棍,sa2 go4 zang4 loi2 da3 gun4,蛇過正來打棍,Hitting with a stick after the snake has passed,
貓公,miau1 gung1,公貓,Male cat,
幾十歲,gi3 sip6 soi4,幾十歲,Tens of years old,
幾百年,gi3 bat5 ngien2,幾百年,Hundreds of years,
第幾,ti4 gi3,第幾,Which number,
厲害,li4 hoi4,厲害,Terrible / Great,
老,lau3,老,Old,
爺娘,ya2 ngiong2,父母,Parents,
爺娭,ya2 oi1,父母,Parents,
阿爸,a1 ba1,爸爸,Dad,
孔子,kung3 zi3,孔子,Confucius,
子午,zi3 ng3,子午,Midnight and noon,
老鼠,lau4 cu3,老鼠,Rat,
餅,biang3,餅,Cake,
茄,kio2,茄子,Eggplant,
向,hiong4,向,Direction,
惠陽腔,fui4 yong2 kiong1,惠陽腔,Huiyang accent,
廣州話,gong3 ziu1 va4,廣州話,Cantonese,
口語,heu3 ngi1,口語,Spoken language,
讀書音,tuk6 su1 yim1,讀書音,Literary pronunciation,
兩十一,liong3 sip6 yit5,二十一,Twenty-one,
自在,cu4 cai4,自在,Comfortable / Free,
在意,cai4 yi4,在意,Care about,
人,ngin2,人,Person,
還,han2,還,Still,
擺,bai3,次,Time,
屋下,vuk5 ha1,家,Home,
阿媽,a1 ma1,媽媽（面稱）,Mom,
英國,yin1 get5,英國,United Kingdom,
嘅麼,e4 mo1,的嗎,Right?
曉,hiau3,懂得,Know (how to),
話,va4,話,Language,
游水,yiu2 sui3,游泳,Swim,
落水,lok6 sui3,下雨,Rain,
數,su4,數,Count/Number,
方位,fong1 vui4,方位,Direction,
正月,zang1 ngiet6,正月,First Month,
正確,zin4 kok6,正確,,
正能量,zin4 len2 liong4,正能量,,
兜,deu1,,,
兩,liong3,,,
析,sak5,,,
右手,yiu4 siu3,,,
西瓜,si1 ga1,,,
切做,ciet6 zo4,,,
幾時,git5 si2,,,
幾多,git5 do1,,,
幾好看,git5 hau3 kon4,,,
客家,hak5 ga1,,,
唔,m1,,,
卡,ka1,,,
今晚,gim1 man1,,,
來到,loi2 dau4,,,
高,gau1,,,
老虎,lau4 fu3,,,
做工,zo4 gung1,,,
做,zo4,,,
新界,sin1 gai4,,,
多少,do1 sau3,,,
聰明,cung1 min2,,,
吂,man2,,,
下子,,,
咩,me4,,,
舊相,kiu4 siong4,,,
相片,siong4 pien3,,,
吾嫂,nga1 sau3,我嫂子,,
雪櫃,siet5 kui4,冰箱,,
風扇,fung1 sien4,風扇,,
側邊,zet5 bien1,旁邊,,
桌仔,zok5 zai3,小桌子,,
凳仔,den4 zai3,小凳子,,
企,ki1,站,,
碗箸,von3 cu4,碗筷,,
調羹,tiau2 gang1,調羹,,
人客,ngin2 hak5,客人,,
拿下來,la1 ha1 loi2,拿下來,,
做人客,zo4 ngin2 hak5,作客,,
大姨,tai4 yi2,媽媽的姐姐,,
柏樹,pak5 su4,柏樹,,
白紙,pak6 zi3,白紙,,
店長,diam4 zong3,店長,,
電話,tien4 va4,電話,,
隧道,sui4 tau4,隧道,,
念舊,ngiam4 kiu4,念舊,,
拒絕,ki3 ciet6,拒絕,,
頂撞,din3 cong4,頂撞,,
強壯,kiong2 zong4,強壯,,
搖盪,yau2 tong4,搖盪,,
存款,sun2 kan3,存款,,
太極,tai4 kit6,太極,,
大力,tai4 lit6,大力,,
火炭,fo3 tan4,火炭,,
皮蛋,pi2 tan4,皮蛋,,
懷舊,fai2 keu4,懷舊,,
領袖,liang1 ciu4,領袖,,
座位,co4 vui4,座位,,
進步,zin4 pu4,進步,,
方便,fong1 pien4,方便,,
不變,but5 bien4,不變,,
盡力,cin4 lit6,盡力,,
錯誤,co4 ngu4,錯誤,,
僬仔,ziau2 zai3,小孩,,
大賴子,tai4 lai4 zu1,長子,,
舊年,kiu4 ngien2,去年,,
今下,gim1 la4,現在,,
梗係,gang3 he4,當然,,
正先,zang4 sien1,剛剛,,
等辰間,den3 sin2 gan1,等一下,,
係呀？,he4 a2?,是嗎？,,
照常,zau4 song1,通常,,
一隻禮拜,yit5 zak5 li1 bai4,一週,,
成下,sang2 ha4,有時候,,
久唔久,giu3 m giu3,偶爾,,
出嗨年,cut5 hoi1 ngien2,明年,,
…添,tiam1,更...,,
半打,ban4 da3,半打,,
打扮,da3 pan4,打扮,,
問答,mun4 dap5,問答,,
踐踏,cien4 tap6,踐踏,,
好漢,hau3 hon4,好漢,,
浩瀚,hau3 hon4,浩瀚,,
總督,zung3 duk5,總督,,
惡毒,ok5 tuk6,惡毒,,
帝國,di4 get5,帝國,,
第一,ti4 yit5,第一,,
蚊帳,min1 zong4,蚊帳,,
千丈,cien1 cong1,千丈,,
權貴,kien2 gui4,權貴,,
貨櫃,fo4 kui4,貨櫃,,
作品,zok5 pin3,作品,,
確鑿,kok5 cok6,確鑿,,
吊橋,diau4 kiau2,吊橋,,
聲調,sang1 tiau4,聲調,,
博士,bok5 su4,博士,,
薄荷,pok6 ho2,薄荷,,
奮鬥,fun3 deu4,奮鬥,,
綠豆,luk6 teu4,綠豆,,
指摘,zi3 zak5,指摘,,
光澤,gong1 cak6,光澤,,
這兜,ngia3 deu1,這些,,
朳仔,pat6 zai3,番石榴,,
十吊錢,sip6 diau4 cien2,十塊錢,,
恁貴,an2 gui4,那麼貴,,
荔果,lai1 go3,荔枝,,
唉兜,ai4 deu1,那些,,
牙蕉,nga2 ziau1,香蕉,,
哪兜,lai4 deu1,哪些,,
大蕉,tai4 ziau1,芭蕉,,
有兜,yiu1 deu1,有一些,,
論隻,lun4 zak5,論個,,
論磅賣,lun4 pong4 mai4,論磅賣,,
有滴,yiu1 dit6,有點,,
做得,zo4 det5,可以,,
平滴,piang2 dit6,便宜一點,,
…揫,ziu1,全部...,,
橙仔,zang2 zai3,橙仔,,
石榴,sak6 liu2,石榴,,
桃仔,tau2 zai3,桃仔,,
枇杷,pi2 pa2,枇杷,,
櫻桃,yin1 tau2,櫻桃,,
李仔,li3 zai3,李仔,,
葡萄子,pu2 tau2 zu3,葡萄子,,
雪梨,siet5 li2,雪梨,,
柑仔,gam1 zai3,柑仔,,
黃皮,vong2 pi2,黃皮,,
